Poster Category	Easel Board	Poster Title	Students	Faculty	Mount ID	Side	X Coordinate	Y Coordinate	Orientation	Color
Engineering	E-16	Legged Locomotion Leveraging Spring-Loaded Obstacle Terrain	Beverly Xu	"Professor Feifei Qian, University of Southern California"	E15E16	East	497	507	vertical	#000000
Engineering	E-17	Shape models trained on low resolution MRIs perform similarly to SSMs trained on high resolution MRIs	Amy Enayati	"Marissa Sinopoli ’18, Assistant Professor of Engineering, PhD, Stanford University, Mechanical Engineering"	E17E18	West	549	507	vertical	#000000
Engineering	E-18	Carbon-Containing Bronzes for Self-Lubricating Bearings and Bushings	"Katie Cheng, Samara Baidwan, Joshua Tanksley"	"Lori Bassman, Jude and Eileen Laspa Professor of Engineering, PhD, Stanford University, Mechanical Engineering"	E17E18	East	549	507	vertical	#000000
Engineering	E-19	Stabilized Zirconium Alloys for Space and Extraterrestrial Nuclear Reactors	"Joshua Tanksley, Samara Baidwan, Katie Cheng"	"Lori Bassman, Jude and Eileen Laspa Professor of Engineering, PhD, Stanford University, Mechanical Engineering"	E19E20	West	602	507	vertical	#000000
Engineering	E-20	Building a RISC-V Certification Suite for Floating-Point and Vector Units	Ryan Wolk	"David Harris, Harvey S. Mudd Engineering Design Fellow Professor of Engineering, PhD, Stanford University, Electrical Engineering"	E19E20	East	602	507	vertical	#000000
Engineering	E-21	A Generalizable Statistical Shape Model Capturing Knee Joint Anatomical Variation for Patellar Instability Insights	Frank Huang	"Marissa Sinopoli ’18, Assistant Professor of Engineering, PhD, Stanford University, Mechanical Engineering"	E21E22	West	655	507	vertical	#000000
Engineering	E-22	Characterizing SLA Resin Flexures in a Low-Voltage Stick-Slip Piezoelectric Actuator	Soon Young Kwon		E21E22	East	655	507	vertical	#000000
Engineering	E-23	pH‐Assisted Ultrasonic De-agglomeration and Characterization of Nanodiamonds	Victor Nguyen	"Professor Shannon Nicley, Michigan State University"	E23E24	West	708	507	vertical	#000000
Engineering	E-24	Characterizing Human Skin Mechanical Properties with a Uniaxial Extensometer	"Justin Huang, Katie Latvakoski, Nadia Qazi, Talia Green, Angie Hou"	"Nancy Lape, James Howard Kindelberger Professor in Engineering Chair, Department of Engineering PhD, University of Minnesota, Chemical Engineering"	E23E24	East	708	507	vertical	#000000
Engineering	E-25	SSEF Waterloo Centralized Water Softening System	"Bahadir Adil, Carolyn Davis"	"Gordon Krauss, Professor of Engineering, PhD, Boston University, Mechanical Engineering / Professor Chris Rennick, IDEAs Lab Faculty"	E25E26	West	761	507	vertical	#000000
Engineering	E-26	Transepidermal Water Loss Device Development and Skin Mold Imaging	"Angie Jing-yuan Hou, Katie Latvakoski, Justin Huang, Nadia Qazi, Talia Green"	"Nancy Lape, James Howard Kindelberger Professor in Engineering Chair, Department of Engineering PhD, University of Minnesota, Chemical Engineering"	E25E26	East	761	507	vertical	#000000
"Engineering, Physics"	EP-1	Low-Latency RF Communication for Quantum Position Verification	"Annika Larson, Alex Chen, Raphael Esquivel, Jasmine Cong"	"Jason Gallicchio, Associate Professor of Physics, Physics Clinic Director, PhD, Harvard University"	EP1EP2	North	807	578	horizontal	#5082c6
"Engineering, Physics"	EP-2	Predicting high-rate large-deformation recoil from traditional mechanical testing	"Helios Hong, Cleo McHenry, Sam Wheeler"	"Mark Ilton, Associate Professor of Physics, PhD, McMaster University"	EP1EP2	South	807	578	horizontal	#5082c6
"Hixon Center, Mathematics"	HCM-1	Investigating Transit Times and Inflow Pathways in the Sermilik Fjord (Greenland) through Particle Tracking	Yichen Yao	"Robert Sanchez, Assistant Professor of Climate and Mathematics, PhD, Scripps Institution of Oceanography"	HCM1HCM2	North	807	1037	horizontal	#004aad
"Hixon Center, Mathematics"	HCM-2	Calculating Time Estimates of Estuarine Tracers	"Shreya Yarlagadda, Anya Sheng"	"Robert Sanchez, Assistant Professor of Climate and Mathematics, PhD, Scripps Institution of Oceanography"	HCM1HCM2	South	807	1037	horizontal	#004aad
"Hixon Center, Mathematics"	HCM-3	Impacts of glacial retreat on fjord circulation and stratification	Antara Krishnan	"Robert Sanchez, Assistant Professor of Climate and Mathematics, PhD, Scripps Institution of Oceanography"	HCM3EXTRA	North	807	1088	horizontal	#004aad
Mathematics	M-1	Persistent Homology of Torus Grids in Degree Two	"Mia Leaf, Ariana Puccini, Adam Van Wyk"	"Professor John Bush, James Madison University"	M1M2	West	494	1193	vertical	#e570e5
Mathematics	M-2	Expressibility of Quantifiers over Small Structures	"Jeremy Lee, Gavin Bell"	"Professor Patrick Lutz, University of Michigan"	M1M2	East	494	1193	vertical	#e570e5
Mathematics	M-3	The Wibbly-Wobbly World of Parking	"Rishi Mathur, Matthew Paek, Synthia Doft"	"Andrés R. Vindas Meléndez, Assistant Professor of Mathematics, PhD, University of Kentucky"	M3M4	West	544	1193	vertical	#e570e5
Mathematics	M-4	Game Theory and Collaboration on Group Assignments	Corina Brazelton	"Francis Edward Su, Benediktsson-Karwa Professor of Mathematics, Associate Chair, Department of Mathematics, PhD, Harvard University"	M3M4	East	544	1193	vertical	#e570e5
Mathematics	M-5	Covariate Adjustment in Blocked Randomized Experiments	"Luke Morgan, Deniz Tanaci"	"Harrison Li, Assistant Professor of Mathematics, PhD, Stanford University"	M5M6	West	444	1111	vertical	#e570e5
Mathematics	M-6	Connectivity and Diameter of Friends and Strangers Graphs Using Minimum Degree	Kai Mawhinney		M5M6	East	444	1111	vertical	#e570e5
Mathematics	M-7	"Lattice slices, Ehrhart polynomials, and magic positivity of generalized parking-function polytopes"	"Ambrose Luo, Charlie Hill, Vu Trinh"	"Andrés R. Vindas Meléndez, Assistant Professor of Mathematics, PhD, University of Kentucky"	M7M8	West	494	1111	vertical	#e570e5
Mathematics	M-8	Extending the Kemeny Rule	"Charlotte Almond, Su Ongoren"	"Michael Orrison, Kenneth A. and Diana G. Jonsson Professor of Mathematics, Chair, Department of Mathematics, PhD, Dartmouth College"	M7M8	East	494	1111	vertical	#e570e5
Mathematics	M-9	Demographic and Behavioral Characteristics that Predict Measles Outbreaks	"Louis Ye, Sean Su, Elizabeth Hernandez"	"Susan Martonosi, Professor of Mathematics – on Sabbatical 2026-2027, Core Curriculum Director, PhD, Massachusetts Institute of Technology"	M9M10	West	544	1111	vertical	#e570e5
Mathematics	M-10	"On the Combinatorial Properties, Recurrence Relations, and Generating Functions of q-Fibonomial Sequences"	August Loan	"Andrés R. Vindas Meléndez, Assistant Professor of Mathematics, PhD, University of Kentucky"	M9M10	East	544	1111	vertical	#e570e5
Physics	P-1	Search for Baryon Number Violating Processes in B Meson Decays	"Jaahnavi Maheshwari, Joseph Conjesteau"	"Brian Shuve, Associate Professor of Physics, PhD, Harvard University"	P1P2	West	293	1193	vertical	#6724ec
Physics	P-2	Modeling Performance in Spin Squeezed Scalar Optically Pumped Magnetometers	Dylan Rainman	"Eduardo Ibarra García Padilla, Assistant Professor of Physics, PhD, Rice University"	P1P2	East	293	1193	vertical	#6724ec
Physics	P-3	DQMC Study of The Bond Holstein Model in a Honeycomb Lattice	Kimberly Silverman	"Eduardo Ibarra García Padilla, Assistant Professor of Physics, PhD, Rice University"	P3P4	West	343	1193	vertical	#6724ec
Physics	P-4	Stabilizer-Based Qudit Entanglement Distillation for Non-Prime Dimensions	Elio Thadhani	"Theresa W. Lynn, Susan and Bruce Worster Professor of Physics, Chair, Department of Physics, PhD, California Institute of Technology"	P3P4	East	343	1193	vertical	#6724ec
Physics	P-5	Effects of on site Gaussian disorder in the ferromagnetic Blume capel model	"Daria Lhommedieu, Kimberly Silverman"	"Eduardo Ibarra García Padilla, Assistant Professor of Physics, PhD, Rice University"	P5P6	West	393	1193	vertical	#6724ec
Physics	P-6	Structural complexity of an SU(3) Fermi Hubbard model	Jiani Fu	"Eduardo Ibarra García Padilla, Assistant Professor of Physics, PhD, Rice University"	P5P6	East	393	1193	vertical	#6724ec
Physics	P-7	Exploring How Students Use Prior Knowledge of Discrete and Continuous Quantities When Learning Quantum Physics	"Sara Morishige, Mia Longen (University of Utah), Shi Davis (University of Utah)"	Jordan Gerton and Lauren Barth-Cohen (University of Utah)	P7P8	West	444	1193	vertical	#6724ec
Physics	P-8	Optimizing Adaptive Two-Qubit Entanglement Witnessing with Neural Networks	Jacob Mendoza	"Theresa W. Lynn, Susan and Bruce Worster Professor of Physics, Chair, Department of Physics, PhD, California Institute of Technology"	P7P8	East	444	1193	vertical	#6724ec
Physics	P-9	Searching for Hidden-Sector Heavy Neutral Leptons	"Vince Choi, Nat Bowman"	"Brian Shuve, Associate Professor of Physics, PhD, Harvard University"	P9P10	West	293	1111	vertical	#6724ec
Physics	P-10	Unfrustrated and Frustated bonding in the Buckeled Coloidial Monolayer	Elliot Snyder	"Sharon Gerbode, Professor of Physics, Associate Dean for Academic Affairs, PhD, Cornell University"	P9P10	East	293	1111	vertical	#6724ec
Physics	P-11	Comparing averaged and analytical Hamiltonian models for long-term planetary dynamics	"Sarah Nathani, Auto Pichitphun"	"Daniel Tamayo, Assistant Professor of Physics PhD, Cornell University"	P11P12	West	343	1111	vertical	#6724ec
Physics	P-12	Defining Compression Fields of Spin Defects in the Buckled Colloidal Monolayer	"Gulzar Asankaryera, Sanika Patterson, Ethan Hoen"	"Sharon Gerbode, Professor of Physics, Associate Dean for Academic Affairs, PhD, Cornell University"	P11P12	East	343	1111	vertical	#6724ec
Physics	P-13	Visualizing Orbital Stability Regions using Machine-Learning Predictions	"William Hodges, Jackson Crickard"	"Daniel Tamayo, Assistant Professor of Physics PhD, Cornell University"	P13P14	West	393	1111	vertical	#6724ec
Physics	P-14	Instability in Multi- Planet Systems	Maddie Ravid	"Daniel Tamayo, Assistant Professor of Physics PhD, Cornell University"	P13P14	East	393	1111	vertical	#6724ec
